date,value,latent_mean,split
2022-01,112.093627355276,112.437822173509,train
2022-02,114.868097477375,118.325000000000,train
2022-03,120.989654598480,123.800000000000,train
2022-04,124.177507908637,126.425000000000,train
2022-05,125.151221083398,126.708587988005,train
2022-06,124.468118723525,126.875000000000,train
2022-07,131.020620555395,128.081793068762,train
2022-08,131.496914269716,129.025000000000,train
2022-09,125.952145759651,127.400000000000,train
2022-10,122.771387604537,122.725000000000,train
2022-11,123.055184349413,117.571796769725,train
2022-12,118.832811455566,115.775000000000,train
2023-01,123.586659473810,119.198591688968,train
2023-02,124.519384179675,126.125000000000,train
2023-03,132.065784768559,132.800000000000,train
2023-04,136.714558863126,136.625000000000,train
2023-05,136.907528643450,137.947818472546,train
2023-06,140.065620016092,138.875000000000,train
2023-07,139.462129902043,140.521023553303,train
2023-08,141.616015312548,141.625000000000,train
2023-09,132.365341433045,140.000000000000,train
2023-10,124.685901071107,135.325000000000,train
2023-11,126.660999997557,130.332566285183,train
2023-12,129.900163888712,128.975000000000,train
2024-01,136.459214198418,133.159361204426,test
2024-02,148.662723916600,141.125000000000,test
2024-03,151.489642897856,149.000000000000,test
2024-04,153.757619668063,154.025000000000,test
2024-05,152.459032738371,156.387048957088,test
2024-06,154.301038499052,158.075000000000,test
