date,value,latent_mean,split
2022-01-03,163.115864729816,157.926455757053,train
2022-01-10,156.727583343479,157.623263378253,train
2022-01-17,154.193343303633,156.408087566716,train
2022-01-24,157.514566646788,154.949363168371,train
2022-01-31,154.599126876453,153.988873361199,train
2022-02-07,158.372075373305,154.166406739638,train
2022-02-14,153.899937432750,155.867616390561,train
2022-02-21,155.927408243738,159.130015880899,train
2022-02-28,154.014494014627,163.628729813748,train
2022-03-07,151.487298137223,168.745345799300,train
2022-03-14,159.722748832142,173.704175951700,train
2022-03-21,172.388335190884,177.744790925209,train
2022-03-28,170.130596649412,180.291376363532,train
2022-04-04,170.965018132771,181.080184946425,train
2022-04-11,174.074210394171,180.215951343708,train
2022-04-18,177.973475052534,178.144404512635,train
2022-04-25,182.303898064734,175.547225394075,train
2022-05-02,172.836776089063,173.183556676500,train
2022-05-09,169.162355929549,171.714406739638,train
2022-05-16,168.676290247144,171.550199298201,train
2022-05-23,172.565902844178,172.756408177976,train
2022-05-30,178.037109597588,175.038900148391,train
2022-06-06,175.999186604116,177.812338603442,train
2022-06-13,187.694919676263,180.335962739138,train
2022-06-20,188.294799263258,181.885612274163,train
2022-06-27,179.536752546290,181.922555014578,train
2022-07-04,179.976893724196,180.220398158988,train
2022-07-11,170.780442893025,176.920958539567,train
2022-07-18,163.717934588339,172.506234177992,train
2022-07-25,167.141027739533,167.692833096997,train
2022-08-01,157.734251456993,163.272973768859,train
2022-08-08,163.017410571928,159.938406739638,train
2022-08-15,163.677452755417,158.127515982901,train
2022-08-22,164.706357738862,157.930545952272,train
2022-08-29,162.340109072031,159.074583202472,train
2022-09-05,173.327271302759,160.991650637987,train
2022-09-12,173.738838848165,162.954233549766,train
2022-09-19,168.965185504772,164.247111177985,train
2022-09-26,171.713289238102,164.336053918399,train
2022-10-03,166.695069898692,162.994668969615,train
2022-10-10,172.764607843741,160.360270574112,train
2022-10-17,163.969009485180,156.905917232073,train
2022-10-24,159.353495048085,153.334970871293,train
