date,value,latent_mean,split
2022-01,70.690568463510,71.690652718208,train
2022-02,83.483493989250,79.759127843123,train
2022-03,92.504724168351,91.141424696398,train
2022-04,92.995496208505,99.311970008972,train
2022-05,91.317733018259,100.970500493886,train
2022-06,99.679722220564,98.177966913333,train
2022-07,93.040273922255,95.457676166340,train
2022-08,105.398657124317,94.999803528382,train
2022-09,102.048638030108,94.860595142247,train
2022-10,99.884395943343,91.879654790820,train
2022-11,89.772940790672,86.146751194081,train
2022-12,75.993126643977,82.156809663558,train
2023-01,88.528668367709,85.085287116120,train
2023-02,98.573575475652,95.720782297975,train
2023-03,112.190273728013,109.183351998972,train
2023-04,123.638062520734,118.765161286112,train
2023-05,117.533246243421,121.254117741633,train
2023-06,111.977239056492,118.877788433152,train
2023-07,123.729750065707,116.282117447553,train
2023-08,94.849661524843,115.699625048201,train
2023-09,113.772917802934,115.144212389994,train
2023-10,110.082537067370,111.332846067960,train
2023-11,104.431014706395,104.188678496655,train
2023-12,98.141234147786,98.118464118411,train
2024-01,93.949605639895,98.479921514033,test
2024-02,98.211178111584,106.545925156168,test
2024-03,123.822089153863,117.919673729468,test
2024-04,124.082605049408,126.071681672567,test
2024-05,128.636508093124,127.693251510766,test
2024-06,118.226534429598,124.828720089438,test
