date,value,latent_mean,split
2022-01-03,247.554561368358,239.064721886844,train
2022-01-10,259.470460531917,250.434758625463,train
2022-01-17,263.603337169855,256.161449733525,train
2022-01-24,245.183702079270,252.596104976525,train
2022-01-31,236.376359615199,244.073530013507,train
2022-02-07,233.259666564005,237.004047391917,train
2022-02-14,227.943486581266,233.439365352240,train
2022-02-21,223.544029294389,232.747133351264,train
2022-02-28,230.792740448008,234.415915552422,train
2022-03-07,244.451484194385,238.218232070663,train
2022-03-14,247.535990864939,243.679492271746,train
2022-03-21,243.149233939407,249.945137300290,train
2022-03-28,244.369466550942,255.927089463710,train
2022-04-04,274.590482577783,260.543738759206,train
2022-04-11,265.506447276739,262.963568797605,train
2022-04-18,264.789481819452,262.792674238530,train
2022-04-25,256.179306820585,260.162994874530,train
2022-05-02,243.851125788778,255.701072086948,train
2022-05-09,260.924508819019,250.384499867636,train
2022-05-16,253.126996993101,245.318956080399,train
2022-05-23,256.181437506933,241.486879165675,train
2022-05-30,249.105906577756,239.525336811429,train
2022-06-06,247.928545852731,239.583931645793,train
2022-06-13,242.713050384072,241.295240184542,train
2022-06-20,233.847282408939,243.864488780974,train
2022-06-27,251.015280877785,246.257843111698,train
2022-07-04,253.048918448190,254.846107527214,train
2022-07-11,274.708700338266,261.061036235943,train
2022-07-18,259.711411084836,261.515981609118,train
2022-07-25,252.800886535246,252.639241804995,train
2022-08-01,229.338852295679,238.843221476795,train
2022-08-08,205.361435221757,226.615330352742,train
2022-08-15,217.737986016962,218.082739652609,train
2022-08-22,206.736464485738,212.685852175275,train
2022-08-29,214.961918336970,209.982234023370,train
2022-09-05,214.227272047564,209.808674061098,train
2022-09-12,193.502350102454,211.749211115989,train
2022-09-19,207.705597365146,215.001461035719,train
2022-09-26,221.686701947230,218.522355224165,train
2022-10-03,228.982333357241,221.267533838186,train
2022-10-10,220.138151859910,222.434507514996,train
2022-10-17,225.184548586836,221.649849865399,train
2022-10-24,203.746083624348,219.057254189511,train
2022-10-31,206.621917618558,215.286266181629,train
2022-11-07,217.484773284505,211.308867831529,train
2022-11-14,216.309902030347,208.216796976389,train
2022-11-21,202.273850212669,206.970660396079,train
2022-11-28,203.259622424536,208.178370830333,train
2022-12-05,218.759657340991,211.953724213676,train
2022-12-12,216.651134692638,217.887567288963,train
2022-12-19,213.278937004296,225.138191139960,train
2022-12-26,226.337560908394,232.620233952690,train
2023-01-02,252.569924138238,246.648774209241,train
2023-01-09,258.748025397772,258.595694730373,train
2023-01-16,270.792443998298,265.009950122704,train
2023-01-23,257.613350664614,262.250094801135,train
2023-01-30,242.332297595945,254.652341810346,train
2023-02-06,240.270944011785,248.620452054351,train
2023-02-13,238.589569249566,246.190151309059,train
2023-02-20,250.319757198459,246.703568126684,train
2023-02-27,249.851806589542,249.615870345936,train
2023-03-06,257.708822672815,254.661704042139,train
2023-03-13,261.575236178720,261.328604362998,train
2023-03-20,262.910454851735,268.728615581908,train
2023-03-27,279.036669741005,275.748138152818,train
2023-04-03,276.999473626757,281.289578197448,train
2023-04-10,284.342866746173,284.514855721658,train
2023-04-17,301.814576201755,285.031470135326,train
2023-04-24,298.343995003520,282.978602405651,train
2023-05-01,285.354004891134,278.993653889998,train
2023-05-08,274.769880304384,274.066785553389,train
2023-05-15,277.138822300351,269.316515951904,train
2023-05-22,265.914044228093,265.737453744750,train
2023-05-29,262.682698321995,263.977633239233,train
2023-06-05,261.723884977636,264.196190106216,train
2023-06-12,261.836701300514,266.033770738032,train
2023-06-19,271.170550253716,268.702296690212,train
2023-06-26,268.206807266866,271.173401846451,train
2023-07-03,296.163021873142,279.822300135042,train
2023-07-10,281.029026340355,286.084262721287,train
2023-07-17,289.789819273456,286.575417588023,train
2023-07-24,266.646949856754,277.726228149497,train
2023-07-31,276.489224158370,263.950763149739,train
2023-08-07,251.873245194552,251.737683287911,train
2023-08-14,238.616330845104,243.215066165588,train
2023-08-21,237.691558291799,237.823927276708,train
2023-08-28,242.893161738654,235.122186733101,train
2023-09-04,238.001011133004,234.946749162531,train
2023-09-11,228.880679526339,236.881537628968,train
2023-09-18,234.841101632862,240.123813970887,train
2023-09-25,256.058166904383,243.629896897109,train
2023-10-02,247.515298157965,246.354520182689,train
2023-10-09,254.019068506269,247.493943493901,train
2023-10-16,249.583636113126,246.673076350743,train
2023-10-23,253.806176097542,244.033446797338,train
2023-10-30,234.019153159628,240.201824916382,train
2023-11-06,229.199012462711,236.146675740768,train
2023-11-13,223.421156900063,232.955327529879,train
2023-11-20,233.221766806699,231.582918856502,train
2023-11-27,231.104175944169,232.630667258138,train
2023-12-04,231.845629678558,236.204298792750,train
2023-12-11,230.770238763515,241.885127160468,train
2023-12-18,263.125509155351,248.820476825713,train
2023-12-25,277.996868090836,255.912815755739,train
2024-01-01,268.877597282271,269.464381740362,test
2024-01-08,276.424891091499,280.834490627170,test
2024-01-15,288.822873147642,286.561237046757,test
2024-01-22,289.080020621220,282.995934239377,test
2024-01-29,273.669052396768,274.473390499454,test
2024-02-05,259.317337802655,267.403930335970,test
2024-02-12,258.567769525319,263.839263400310,test
2024-02-19,261.719833505076,263.147040098160,test
2024-02-26,274.691551261253,264.815825139450,test
2024-03-04,284.985086698492,268.618138817559,test
2024-03-11,284.574288999349,274.079390319816,test
2024-03-18,282.400028749200,280.345020244342,test
2024-03-25,279.552383827446,286.326949949657,test
2024-04-01,277.150325094221,290.943568022058,test
2024-04-08,274.149017913974,293.363356110837,test
2024-04-15,279.378518851589,293.192406240236,test
2024-04-22,288.419963584805,290.562654728049,test
2024-04-29,307.730709677863,286.100638423242,test
2024-05-06,285.482407837506,280.783945443032,test
2024-05-13,280.501985978112,275.718246065424,test
2024-05-20,282.768739285157,271.885968957598,test
2024-05-27,283.449208213632,269.924169233266,test
2024-06-03,268.099808370995,269.982433356122,test
2024-06-10,280.700345850682,271.693317073075,test
2024-06-17,273.019830892525,274.262020061466,test
2024-06-24,299.708359873915,276.654673742479,test
